names	scores	pvals	pvals_adj	log2foldchanges
Grip1	66.055595	4.7846982023820104e-307	7.588531348977868e-304	2.6539075
Erbb4	60.007084	2.226770563037141e-276	1.7658290564884526e-273	3.12732
Adarb2	56.629967	2.2057332123798428e-253	1.1660976249448102e-250	4.6561375
Abcb1a	-35.848606	1.055467893503536e-242	4.18493019774152e-240	-4.9470997
Atp13a4	-32.261864	2.843553931289871e-223	9.01975307005147e-221	-25.599413
Tbx18	-32.233116	8.5548533922315e-220	2.2613329133465266e-217	-5.885345
Prdm6	-33.367764	2.636464914025506e-206	5.973476219492074e-204	-4.2760296
Rcsd1	-30.900415	2.2540282653080557e-205	4.4686110359732205e-203	-25.464666
Egflam	-30.489935	2.0128629264827146e-196	3.547111779335095e-194	-6.180206
Grm3	-40.356472	1.2089046512211744e-194	1.9173227768367828e-192	-2.8270752
Neat1	-38.014282	1.986810896833734e-191	2.8646200748893653e-189	-3.2332559
Phldb2	-34.57366	3.086458089400914e-188	4.079268774824874e-186	-3.6988924
C4b	-31.931353	7.195284852629398e-188	8.778247520207865e-186	-4.5080647
Sox2ot	40.571693	8.245703425778267e-183	9.341204023774521e-181	2.8101037
Pdgfd	-32.68834	3.203000645184268e-177	3.3866393488414997e-175	-4.1855664
AU020206	-28.4745	3.0589757526906527e-175	3.0322097148546094e-173	-25.339205
Fa2h	-29.187462	1.1934126126716843e-174	1.1133837668807595e-172	-5.0838137
Mdfic	-29.535873	7.149157318547286e-171	6.299201948453331e-169	-4.7287793
Cfh	-31.60876	4.610583827857394e-167	3.848624184727278e-165	-3.9313421
Aldh1a1	-29.652086	1.7042846335886872e-165	1.3514977144358289e-163	-4.4772334
Runx1	-28.866598	2.750407613605797e-161	2.0772126072279972e-159	-4.5476265
Fn1	-30.03975	3.3994732335756553e-158	2.450711158386813e-156	-3.726323
Tbx15	-30.01148	6.05042245806965e-158	4.1721608776080287e-156	-4.101697
Galntl6	35.336487	1.4297465610152458e-155	9.44824185737575e-154	2.259687
Rhoj	-28.976025	1.5255796428187278e-155	9.678277254042009e-154	-4.1770244
Trabd2b	-30.108019	2.1005629610883723e-152	1.281343406263907e-150	-3.6084437
Lrmda	-31.624416	2.8653276403874226e-151	1.68311468061276e-149	-3.2190123
Prr5l	-29.085356	2.548784014018138e-148	1.4437040879402739e-146	-3.8189974
Cavin1	-26.111355	4.313558911428092e-148	2.35907049431895e-146	-25.048136
Cdh19	-28.799227	6.0166499055471945e-145	3.1808022500659505e-143	-3.8391237
Tcf7l2	-30.053852	1.7358020379816703e-143	8.880587200770739e-142	-3.775612
Egfem1	33.075943	2.2977531129364862e-142	1.138823886599146e-140	2.544338
Ctsc	-25.630888	3.319416715569919e-142	1.5953317911799671e-140	-6.227345
Dab2	-28.473625	2.951111731795766e-141	1.3766068254788483e-139	-4.332404
Slc7a10	-25.636358	6.385246787443826e-138	2.893428972824545e-136	-5.159213
Kcnip1	32.425797	1.9577095040319576e-137	8.624797981651901e-136	4.2290993
Wwtr1	-27.895872	3.757250010548399e-132	1.6105401396566921e-130	-3.853224
Bnc2	-28.379803	6.771923598148782e-132	2.8263870596484128e-130	-2.9754846
Pld1	-27.568222	2.2188827418270397e-131	9.023456483429962e-130	-3.804545
Wipf1	-28.043398	4.1669787272002375e-130	1.652207065334894e-128	-3.2018454
Hmgcs2	-24.229376	4.738215183812076e-128	1.8328803125673053e-126	-24.745655
Atp6v0d2	-24.188147	1.2554567264085073e-127	4.740843733533077e-126	-25.016771
Myrf	-24.166014	2.1169825452208563e-127	7.808219341209948e-126	-24.86939
Abca1	-28.232344	7.16479416620386e-126	2.5825826244543915e-124	-2.7546098
Mrvi1	-24.758852	1.163391604616618e-124	4.100309077604347e-123	-4.5694366
Sp100	-25.35352	4.683998491947226e-124	1.6149612191800655e-122	-4.2289734
Zfp536	29.627632	9.39984759227852e-124	3.171948570500794e-122	2.3953342
