names	scores	pvals	pvals_adj	log2foldchanges
Cxcl12	-179.38019	0.0	0.0	-29.885807
Mobp	-153.62015	0.0	0.0	-29.137794
S1pr1	-187.2489	0.0	0.0	-29.098137
Podxl	-170.6502	0.0	0.0	-29.018408
Meg3	-122.90502	0.0	0.0	-28.969395
Ptprd	-132.56517	0.0	0.0	-28.890633
Anxa3	-188.98207	0.0	0.0	-28.809893
Cdh5	-170.38708	0.0	0.0	-28.706429
Sox17	-157.40746	0.0	0.0	-28.628452
Car4	-139.53275	0.0	0.0	-28.569975
Sema3c	-148.47986	0.0	0.0	-28.523983
Mtus1	-164.0792	0.0	0.0	-28.258308
Prom1	-141.93645	0.0	0.0	-28.237934
Ank3	-131.27377	0.0	0.0	-28.225285
Palmd	-148.20297	0.0	0.0	-28.207792
Gria2	-122.12495	0.0	0.0	-28.205551
Heg1	-150.14816	0.0	0.0	-28.203884
Ppp1r16b	-148.49179	0.0	0.0	-28.193724
Kdr	-137.58794	0.0	0.0	-28.19346
Slc7a1	-129.56067	0.0	0.0	-28.14839
Syt1	-104.93205	0.0	0.0	-28.1073
Nrxn3	-92.69979	0.0	0.0	-28.081675
Apold1	-127.63304	0.0	0.0	-28.02488
Slc22a8	-132.09259	0.0	0.0	-28.005817
Cfh	-118.35693	0.0	0.0	-28.002716
Tspan2	-119.28179	0.0	0.0	-27.980528
Rasip1	-137.89035	0.0	0.0	-27.971888
Grrp1	-134.5093	0.0	0.0	-27.961609
F11r	-145.47438	0.0	0.0	-27.90704
Irf7	-123.13615	0.0	0.0	-27.82355
St8sia4	-125.50339	0.0	0.0	-27.819654
Nrgn	-114.83345	0.0	0.0	-27.792116
Tie1	-128.35634	0.0	0.0	-27.764515
Slfn5	-128.29721	0.0	0.0	-27.71899
Kcnip4	-78.46912	0.0	0.0	-27.716284
Arap2	-140.4023	0.0	0.0	-27.715475
Jag2	-123.619896	0.0	0.0	-27.704971
Slc24a2	-108.2426	0.0	0.0	-27.69386
Ocln	-129.89267	0.0	0.0	-27.688837
Myh11	-81.145424	0.0	0.0	-27.62951
