,0
0,Sox17
1,Rgs20
2,Sntg1
3,Prex2
4,Kcnb2
5,Gdap1
6,Crispld1
7,Mcm3
8,Tram2
9,Kcnq5
10,Rims1
11,Col19a1
12,Adgrb3
13,Ptpn18
14,Arhgef4
15,Neurl3
16,Sema4c
17,Zap70
18,Mgat4a
19,Aff3
20,Tbc1d8
21,Il1r2
22,Il1r1
23,Il1rl2
24,Il1rl1
25,Il18rap
26,Slc9a2
27,Gulp1
28,Col3a1
29,Slc40a1
30,Slc39a10
31,Tmeff2
32,Myo1b
33,Stat4
34,Stat1
35,Stk17b
36,Ankrd44
37,Rftn2
38,Plcl1
39,Satb2
40,Aox3
41,Cflar
42,Bmpr2
43,Raph1
44,Cd28
45,Pard3b
46,Nrp2
47,Adam23
48,Unc80
49,Fn1
50,Igfbp2
51,Igfbp5
52,Tns1
53,Slc11a1
54,Plcd4
55,Tuba4a
56,Dnajb2
57,Ptprn
58,Resp18
59,Des
60,Slc4a3
61,Epha4
62,Sgpp2
63,Mogat1
64,Acsl3
65,Scg2
66,Serpine2
67,Nyap2
68,Col4a4
69,Col4a3
70,Slc19a3
71,Krtap28-13
72,Sphkap
73,Pid1
74,Sp110
75,Sp100
76,Ecel1
77,Kcnj13
78,Inpp5d
79,Glrp1
80,Ackr3
81,Mlph
82,Sned1
83,Bok
84,Neu4
85,St8sia4
86,Pam
87,Rnf152
88,Tnfrsf11a
89,Bcl2
90,Cntnap5a
91,Dbi
92,Celrr
93,Dpp10
94,Lypd1
95,Nckap5
96,Tmem163
97,R3hdm1
98,Cxcr4
99,Fcmr
100,Srgap2
101,Fam72a
102,Elk4
103,Nuak2
104,Cntn2
105,Nfasc
106,Plekha6
107,Sox13
108,Atp2b4
109,Prelp
110,Fmod
111,Btg2
112,Ppfia4
113,Gpr37l1
114,Shisa4
115,Nav1
116,Csrp1
117,Ptprc
118,Cfh
119,Kcnt2
120,B3galt2
121,Rgs2
122,Rgs1
123,Brinp3
124,Ptgs2
125,Prg4
126,Hmcn1
127,Ivns1abp
128,Colgalt2
129,Ncf2
130,Lamc1
131,Npl
132,Rgs16
133,Glul
134,Cacna1e
135,Qsox1
136,Tnr
137,Cenpl
138,Prdx6
139,Dnm3
140,Myoc
141,Fmo1
142,Fmo2
143,Selp
144,F5
145,Atp1b1
146,Mpzl1
147,Rcsd1
148,Ildr2
149,Mgst3
150,Rgs5
151,Rgs4
152,Fcrla
153,Fcgr2b
154,Fcgr3
155,Pcp4l1
156,Fcer1g
157,Arhgap30
158,F11r
159,Cd244
160,Cd48
161,Cd84
162,Slamf6
163,Igsf8
164,Atp1a2
165,Kcnj9
166,Slamf9
167,Tagln2
168,Dusp23
169,Ackr1
170,Cadm3
171,Ifi204
172,Mndal
173,Pld5
174,Itpkb
175,Susd4
176,Slc30a10
177,Tgfb2
178,Esrrg
179,Kcnk2
180,Cenpf
181,Ptpn14
182,Batf3
183,Atf3
184,Slc30a1
185,Traf3ip3
186,Hsd11b1
187,G0s2
188,Plxna2
189,Cd34
190,Cr2
191,Meig1
192,Phyh
193,Proser2
194,Celf2
195,Itih2
196,Itih5
197,C1ql3
198,Vim
199,St8sia6
200,Mrc1
201,Slc39a12
202,Cacnb2
203,Plxdc2
204,Nebl
205,Armc3
206,Otud1
207,Etl4
208,Gpr158
209,Gad2
210,Apbb1ip
211,Cacna1b
212,Pnpla7
213,Nrarp
214,Grin1
215,Abca2
216,Ptgds
217,Kcnt1
218,Card9
219,Snapc4
220,Notch1
221,Egfl7
222,Slc2a6
223,Adamtsl2
224,Olfm1
225,Cercam
226,Pkn3
227,Ier5l
228,Exosc2
229,Lamc3
230,Golga2
231,Dnm1
232,Lcn2
233,Eng
234,Sh2d3c
235,Stxbp1
236,Garnl3
237,Pbx3
238,Gsn
239,Stom
240,Ggta1
241,Dab2ip
242,Ptgs1
243,Lhx2
244,Nek6
245,Nr6a1os
246,Scai
247,Arhgap15
248,Zeb2os
249,Tnfaip6
250,Kcnj3
251,Nr4a2
252,Gpd2
253,Ermn
254,Cytip
255,Acvr1c
256,Pkp4
257,Dapl1
258,Tanc1
259,Ly75
260,Pla2r1
261,Rbms1
262,Tbr1
263,Slc4a10
264,Dpp4
265,Fap
266,Ifih1
267,Kcnh7
268,Grb14
269,Cobll1
270,Slc38a11
271,Scn1a
272,Nostrin
273,Klhl23
274,Gad1
275,Dcaf17
276,Dlx1
277,Dlx2
278,Itga6
279,Rapgef4
280,Wipf1
281,Chn1
282,Ttn
283,Ccdc141
284,Zfp385b
285,Itga4
286,Pde1a
287,Zfp804a
288,Calcrl
289,Tfpi
290,Ypel4
291,Serping1
292,Ube2l6
293,Slc43a3
294,Aplnr
295,C1qtnf4
296,Spi1
297,Madd
298,Nr1h3
299,Lrp4
300,Mdk
301,Syt13
302,Trp53i11
303,Ttc17
304,Ldlrad3
305,Fjx1
306,Slc1a2
307,Cd44
308,Lmo2
309,Cd59a
310,Hipk3
311,Pax6
312,Bdnf
313,Ano3
314,Lpcat4
315,Ryr3
316,Scg5
317,Arhgap11a
318,Meis2
319,Rasgrp1
320,Thbs1
321,Bmf
322,Plcb2
323,Disp2
324,Spint1
325,Dll4
326,Chac1
327,Nusap1
328,Ehd4
329,Tmem87a
330,Capn3
331,Stard9
332,Ppip5k1
333,Wdr76
334,B2m
335,Gatm
336,Sema6d
337,Slc24a5
338,Cep152
339,Shc4
340,Hdc
341,Itpripl1
342,Dusp2
343,Mal
344,Bcl2l11
345,Mertk
346,Tmem87b
347,Slc20a1
348,Ckap2l
349,Il1a
350,Il1b
351,Sirpa
352,Pdyn
353,Cpxm1
354,Avp
355,Adam33
356,Hspa12b
357,Rassf2
358,Gpcpd1
359,Chgb
360,Bmp2
361,Plcb1
362,Plcb4
363,Lamp5
364,Snap25
365,Jag1
366,Ism1
367,Pcsk2
368,Slc24a3
369,Rin2
370,Nkx2-2os
371,Thbd
372,Cd93
373,Napb
374,Cst3
375,Cst7
376,Acss1
377,Gins1
378,Fam110a
379,Slc52a3
380,Tcf15
381,Trib3
382,Nrsn2
383,Rem1
384,Id1
385,Cox4i2
386,Bcl2l1
387,Tpx2
388,Foxs1
389,Ccm2l
390,Hck
391,Nol4l
392,Ggt7
393,Procr
394,Cnbd2
395,Myl9
396,Soga1
397,Samhd1
398,Rbl1
399,Nnat
400,Vstm2l
401,Tti1
402,Tgm2
403,Lbp
404,Slc32a1
405,Ppp1r16b
406,Mafb
407,Plcg1
408,Zhx3
409,Ptprt
410,Slpi
411,Matn4
412,Sdc4
413,Wfdc2
414,Ube2c
415,Neurl2
416,Pltp
417,Mmp9
418,Slc12a5
419,Cd40
420,Cdh22
421,Slc13a3
422,Eya2
423,Ncoa3
424,Sulf2
425,Kcnb1
426,B4galt5
427,Cebpb
428,Tshz2
429,Zfp217
430,Bcas1
431,Cbln4
432,Bmp7
433,Pmepa1
434,Npepl1
435,Ctsz
436,Edn3
437,Cdh4
438,Ss18l1
439,Hrh3
440,Lama5
441,Slco4a1
442,Col9a3
443,Slc17a9
444,Nkain4
445,Kcnq2
446,Eef1a2
447,Helz2
448,Stmn3
449,Zbtb46
450,Sox18
451,Shroom4
452,Syp
453,Prickle3
454,Magix
455,Pcsk1n
456,Was
457,Slc38a5
458,Cybb
459,Atp6ap2
460,Gpr34
461,Maoa
462,Slc9a7
463,Syn1
464,Dock11
465,Il13ra1
466,Gria3
467,Tenm1
468,Apln
469,Sash3
470,Enox2
471,Hs6st2
472,Gpc3
473,Xlr
474,Arhgef6
475,Zic3
476,Fgf13
477,Atp11c
478,Slitrk4
479,Slitrk2
480,Cetn2
481,Xlr4b
482,Bgn
483,L1cam
484,Arhgap4
485,Renbp
486,Flna
487,Pls3
488,Prrg1
489,Tmem47
490,Dmd
491,Il1rapl1
492,Gpr165
